Experiment (Center),,Experiment (Upper Bound),,Experiment (Lower Bound),,1/8C No Walls,,1/2 W Walls,
X,Y,X,Y,X,Y,X,Y,X,Y
,,,,,,293.7358490566037,0.015660986001217285,394.2641509433962,0.0026620206938527055
,,,,,,295.2452830188679,0.015580416920267803,404.2264150943396,0.0022996195982957976
,,,,,,297.66037735849056,0.014834570906877662,415.9999999999999,0.0018969872185027395
,,,,,,299.7735849056603,0.014028225806451612,421.13207547169804,0.001695632988435787
,,,,,,301.2830188679245,0.013524269628727938,,
,,,,,,303.39622641509436,0.013221956786366403,,
,,,,,,305.8113207547169,0.013222078514911747,,
,,,,,,307.92452830188677,0.013524604382227634,,
,,,,,,310.3396226415093,0.013726339013998782,,
,,,,,,311.84905660377353,0.013222382836275106,,
,,,,,,313.66037735849045,0.012597474132684116,,
,,,,,,314.566037735849,0.011670100426049908,,
,,,,,,315.7735849056603,0.010500806451612903,,
,,,,,,317.2830188679245,0.009311366402921482,,
,,,,,,318.18867924528297,0.008303347534996956,,
,,,,,,319.6981132075472,0.007376004260499086,,
,,,,,,321.8113207547169,0.0059849817407181954,,
,,,,,,324.8301886792452,0.004594004869141813,,
,,,,,,327.84905660377353,0.003928834449178329,,
,,,,,,330.86792452830184,0.0037273737066342086,,
,,,,,,332.67924528301876,0.0038887553256238584,,
,,,,,,336,0.004292148508825321,,
,,,,,,339.0188679245283,0.004735849056603771,,
,,,,,,342.33962264150944,0.0046755325623858805,,
,,,,,,349.58490566037733,0.003929930006086425,,
,,,,,,356.8301886792452,0.0035069080949482676,,
,,,,,,361.0566037735849,0.0034667985392574548,,
,,,,,,367.39622641509425,0.0035477632379793053,,
,,,,,,373.13207547169804,0.0033464394400486916,,
,,,,,,379.7735849056603,0.0030241935483870976,,
,,,,,,391.5471698113206,0.002561077297626297,,
,,,,,,400.3018867924528,0.002238937918441878,,
,,,,,,411.4716981132075,0.0018967589774802202,,
,,,,,,421.7358490566037,0.0016351795496043833,,
